Month_Name,Month,Merged Ca_Mean,Merged Ca_SD,Alkalinity (mg/L) as CaCO3_Mean,Alkalinity (mg/L) as CaCO3_SD,As (merged)_Mean,As (merged)_SD,Ca_Mean_SD,Alk_Mean_SD,As_Mean_SD
January,1,5.9399999999999995,0.6201075175591195,38.80833333333333,2.545177512753987,0.02594857142857143,0.006137175601997054,5.94 ± 0.62,38.81 ± 2.55,0.0259 ± 0.0061
February,2,6.001428571428571,0.5741785021933098,38.43103448275862,4.744628801397869,0.02897619047619048,0.005437261215337142,6.00 ± 0.57,38.43 ± 4.74,0.0290 ± 0.0054
March,3,6.035,0.5258802144975604,40.829032258064515,2.7132014974180243,0.026842424242424244,0.005591904321373351,6.04 ± 0.53,40.83 ± 2.71,0.0268 ± 0.0056
April,4,6.073333333333333,0.7410173187359839,39.829032258064515,3.7763468721669002,0.026029411764705884,0.007478151181812202,6.07 ± 0.74,39.83 ± 3.78,0.0260 ± 0.0075
May,5,6.3133333333333335,0.6099726769837044,38.11875,4.076718913142552,0.025343181818181817,0.005917981967767772,6.31 ± 0.61,38.12 ± 4.08,0.0253 ± 0.0059
June,6,6.133333333333333,0.2858437801783812,37.86538461538461,2.943459503059935,0.02222972972972973,0.005754798233014142,6.13 ± 0.29,37.87 ± 2.94,0.0222 ± 0.0058
July,7,6.108333333333333,0.47482277395536393,36.26315789473684,2.2673262086778805,0.020047222222222223,0.005908032600311986,6.11 ± 0.47,36.26 ± 2.27,0.0200 ± 0.0059
August,8,6.406666666666666,0.5100065359058321,36.669999999999995,3.190411280372961,0.01827608695652174,0.005309286823109889,6.41 ± 0.51,36.67 ± 3.19,0.0183 ± 0.0053
September,9,6.521666666666667,0.38159751920926693,37.958064516129035,3.255433836275219,0.018061764705882354,0.0036021049995533846,6.52 ± 0.38,37.96 ± 3.26,0.0181 ± 0.0036
October,10,6.026,0.4093653624819763,36.88918918918919,4.087636085657428,0.01906969696969697,0.0037244533867808066,6.03 ± 0.41,36.89 ± 4.09,0.0191 ± 0.0037
November,11,6.241666666666667,0.3228880094810996,38.47878787878788,1.970208995220681,0.022972093023255813,0.00443596371562919,6.24 ± 0.32,38.48 ± 1.97,0.0230 ± 0.0044
December,12,6.197142857142857,0.3587810049651593,38.68484848484848,3.767386462466489,0.02556470588235294,0.006577320185300724,6.20 ± 0.36,38.68 ± 3.77,0.0256 ± 0.0066
