datetime,plant,As_tot_in,As_diss_in,As_tot_out,As_tot_out_cens,As_diss_out,As_diss_out_cens,pH,hardness,cond,TDS,turbidity,DOC,DOC_cens,TOC,TOC_cens,algae,Ca_tot,Ca_diss,Mg_tot,Mg_diss,Mn_tot,Mn_diss,Mn_diss_cens,K_tot,K_diss,Na_tot,Na_diss,F,Cl,SO4,sulphide,sulphide_cens,alkalinity,Al_tot,Sb_tot,B,Fe_tot,Fe_diss,Fe_diss_cens,Li_tot,Mo_tot,Mo_tot_cens,nitrate_N,nitrite_N,nitrite_N_cens,NH4_N,NH4_N_cens,DRP,DRP_cens,TP,coagulant,temperature,year,month,season,As_removed_abs,As_removal_pct,As_LRV,meets_MAV,qa_exclude_multivar,qa_exclude_reason
2005-12-12 00:00:00,HCC,0.027,,0.004,False,,False,7.7,27.0,,,,0.7,False,4.3,False,,6.27,6.52,,2.53,0.0264,0.0023,False,,,,,,,,,False,39.0,0.032,0.0008,,0.16,0.07,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2005,12,Summer,0.023,85.18518518518518,0.829303772831025,1.0,False,
2006-01-18 00:00:00,HCC,0.029,,,False,,False,7.4,25.0,15.5,113.0,,1.2,False,2.3,False,,5.95,6.12,2.26,2.46,0.0308,0.0007,False,,3.39,,19.1,,17.9,8.6,0.002,False,36.0,0.038,0.0007,,0.21,0.08,False,0.0827,0.0004,False,0.148,0.003,False,0.0070710678118654745,True,,False,,Aluminium Sulphate,,2006,1,Summer,,,,,False,
2006-03-22 00:00:00,HCC,0.028,,,False,,False,7.5,28.0,,,,1.1,False,1.6,False,,6.28,6.52,2.67,2.85,0.0289,0.0007,False,,,,,,,,,False,38.0,0.051,0.0011,,0.17,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,3,Autumn,,,,,False,
2006-04-11 00:00:00,HCC,0.027,,0.003,False,,False,,27.0,16.5,127.0,,0.5,False,1.2,False,,6.7,6.42,2.77,2.76,0.0266,0.0021,False,3.63,,21.2,,,20.3,9.2,,False,37.0,0.066,0.0009,,0.23,0.09,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,4,Autumn,0.024,88.88888888888889,0.9542425094393249,1.0,False,
2006-05-24 00:00:00,HCC,0.023,,0.002,False,,False,7.2,27.0,,,,2.0,False,2.1,False,,6.44,6.48,,2.73,0.0176,0.0065,False,,,,,,,,,False,,0.256,0.0009,,0.2,0.09,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,5,Autumn,0.020999999999999998,91.30434782608694,1.0606978403536116,1.0,False,
2006-06-19 00:00:00,HCC,0.02,,0.001,False,,False,7.5,28.0,,,,1.5,False,2.2,False,,6.72,6.85,,2.76,0.0242,0.0109,False,,,,,,,,,False,35.0,0.15,0.0007,,0.21,0.1,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,6,Winter,0.019,95.0,1.3010299956639813,1.0,False,
2006-07-19 00:00:00,HCC,0.02,,,False,,False,7.5,26.0,14.6,121.0,,0.9,False,1.3,False,,6.37,6.22,2.8,2.61,0.016,0.0029,False,,3.12,,17.9,,16.1,9.0,,False,36.0,0.082,0.0007,,0.18,0.05,False,0.0839,0.0004,False,0.346,0.002,False,0.0070710678118654745,True,,False,,Aluminium Sulphate,,2006,7,Winter,,,,,False,
2006-08-23 00:00:00,HCC,0.022,,0.0007071067811865475,True,,False,7.7,26.0,,,,0.35355339059327373,True,0.35355339059327373,True,,6.58,6.18,,2.48,0.0219,0.0068,False,,,,,,,,,False,36.0,0.1,0.0008,,0.21,0.07,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,8,Winter,0.02129289321881345,96.78587826733387,1.4929376786541968,1.0,False,
2006-09-25 00:00:00,HCC,0.023,,,False,,False,7.7,27.0,,,,0.7,False,0.8,False,,6.71,6.69,,2.57,0.0328,0.0009,False,,,,,,,,,False,41.0,0.035,0.0009,,0.17,0.04,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,9,Spring,,,,,False,
2006-10-27 00:00:00,HCC,0.029,,,False,,False,,28.0,16.2,119.0,,0.35355339059327373,True,0.35355339059327373,True,,6.28,6.66,2.59,2.76,0.0445,0.0007,False,,3.44,,20.6,,18.6,9.1,,False,41.0,0.044,0.0008,,0.23,0.06,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,10,Spring,,,,,False,
2006-11-14 00:00:00,HCC,0.026,,,False,,False,7.6,26.0,,,,1.6,False,3.6,False,,6.36,6.24,,2.64,0.0432,0.00035355339059327376,True,,,,,,,,,False,38.0,0.053,0.0008,,0.22,0.06,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,11,Spring,,,,,False,
2006-12-12 00:00:00,HCC,0.028,,0.002,False,,False,7.5,27.0,,,,3.3,False,4.2,False,,6.63,6.26,,2.65,0.0407,0.0008,False,,,,,,,,,False,40.0,0.071,0.008,,0.22,0.08,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2006,12,Summer,0.026000000000000002,92.85714285714286,1.146128035678238,1.0,False,
2007-01-18 00:00:00,HCC,0.027,,,False,,False,7.5,25.0,16.2,124.0,,3.3,False,3.8,False,,6.07,5.78,2.69,2.45,0.0319,0.00035355339059327376,True,3.21,,19.5,,,20.0,8.8,0.001414213562373095,True,38.0,0.043,0.0007,0.246,0.18,0.06,False,0.0892,0.0004,False,0.106,0.004,False,0.02,False,,False,,Aluminium Sulphate,,2007,1,Summer,,,,,False,
2007-03-08 00:00:00,HCC,0.025,,0.003,False,,False,7.7,26.0,,,,3.3,False,4.1,False,,6.57,6.12,,2.51,0.0235,0.0006,False,,,,,,,,,False,42.0,0.033,0.0008,,0.16,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,3,Autumn,0.022000000000000002,88.0,0.9208187539523752,1.0,False,
2007-07-19 00:00:00,HCC,0.021,,0.0007071067811865475,True,,False,,24.0,14.7,138.0,,2.3,False,3.0,False,,6.52,5.7,2.73,2.28,0.0163,0.0032,False,,2.92,,16.6,,16.9,7.9,,False,37.0,0.05,0.0007,,0.16,0.06,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,7,Winter,0.020292893218813453,96.63282485149263,1.47273429256591,1.0,False,
2007-08-20 00:00:00,HCC,0.018,,0.0007071067811865475,True,,False,,25.0,,,,2.9,False,3.5,False,,6.13,6.1,,2.45,0.0224,0.0061,False,,,,,,,,,False,35.0,0.256,0.0007,,0.26,0.07,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,8,Winter,0.01729289321881345,96.07162899340807,1.4057875029352966,1.0,False,
2007-09-10 00:00:00,HCC,0.023,,,False,,False,8.0,27.0,,,,3.5,False,5.5,False,,6.57,6.4,,2.65,0.0272,0.0006,False,,,,,,,,,False,39.0,0.069,0.0007,,0.19,0.05,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,9,Spring,,,,,False,
2007-10-18 00:00:00,HCC,0.023,,,False,,False,7.5,25.0,15.2,113.0,,1.2,False,1.7,False,,6.49,5.98,2.69,2.54,0.0342,0.0008,False,3.28,,18.2,,,16.2,8.7,0.001414213562373095,True,40.0,0.053,0.0006,0.229,0.22,0.06,False,0.0774,0.0004,False,0.208,0.003,False,0.0070710678118654745,True,,False,,Aluminium Sulphate,,2007,10,Spring,,,,,False,
2007-11-07 00:00:00,HCC,0.027,,,False,,False,7.5,25.0,,,,4.2,False,3.0,False,,6.7,6.1,2.7,2.5,0.046,0.0006,False,,,,,,,,,False,40.0,0.093,0.00071,,0.33,0.079,False,,,False,,,False,,False,,False,,Aluminium Sulphate,,2007,11,Spring,,,,,False,
